חותמת זמן,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quelle est votre nationalité ?,Quel est le plus haut diplôme que vous ayez obtenu?,Les deux étudiants se sont rencontrés et sont rapidement tombés,"Les jours ensoleillés, Jacques se rend au parc pour promener son",Faites attention à ne pas toucher la poêle quand elle est,Briser un miroir vous causera beaucoup de,Émilie l’avait détesté dès le moment où ils s'étaient,Les faux jumeaux étaient aussi différents que le jour et la,La petite fille était contente de perdre sa première,"Ce couteau ne coupe pas, sa lame est complètement","Au concert de rock, la musique était trop","Pour fêter son départ, ses amis lui ont organisé une","Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque",Thais était en retard et n'arrêtait pas de regarder sa,Le petit oiseau s'est cassé une aile et ne peut plus,La couleur la plus associée à la colère est le,Les tensions entre les pays pourraient aboutir à la,Gaspard était perdu et ne savait pas quoi,La mère inquiète avait plusieurs bouches à,Arielle a été licenciée et recherche un autre,"En cuisinant, Luc s'est coupé le doigt avec un",Gilles préfère les films comiques qui le font,"Après avoir rendu sa copie, Lucie a réalisé qu'elle avait fait une","Selon la Bible, le meurtre est un très grave","Après s'être lavé les mains, Nathan les a séchées avec une",Les hommes ont failli tomber dans le trou qu'ils avaient,"Le garçon n'avait rien fait de mal, et la punition n'était pas",Chris dit que son chien avait toujours été son meilleur,Elles étaient venu voir le maire mais il avait encore,Dans cette boite se cache un,Cet espace peut en stocker une,Elle ne l'écoutait plus car il racontait la même,Ce plat est beaucoup trop,L'étudiant est très vite allé acheter un nouvel,Il a rapidement demandé un rendez-vous après avoir relu son nouveau,"Après avoir été lavé, le col n'était plus taché de","Pour avoir participé à la course, l'enfant a reçu un",La boutique d'accessoires était dans un quartier éloigné de la,Dina a été surprise d'apprendre que son meilleur ami était,Il a dit à son frère qu'il devait vraiment se,Il est entré dans cette chambre et est maintenant,Elle s'est acheté une tenue pour son,Hugo regardait la grande fontaine que sa mère avait,"Pour ne pas avoir faim, il aurait dû manger plus","Après l'élection municipale, toute la ville était en","Pour réussir à l'examen, Emma ne manquait pas de",Elle doit encore apprendre à utiliser les bons,"Après quelques mois, ils ont engagé un homme pour tout",Camille était très surprise que son mari n'ait pas,En regardant son livre il a deviné l'espèce de,L'équipe s'est entrainée de très longues semaines sur son,Le vieil homme était assis et s'est brusquement mis à,"Pour aider la famille de sa femme, Diego a organisé tout",Mon professeur m'a dit qu'il avait toujours eu peur de la,Je suis allé acheter un
10/3/2022 11:39,Oui,Femme,18 - 25,La France,Master ou équivalent,Amoureux,Chien,Chaude,Soucis,Rencontrés,Nuit,Dent,Émoussée,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Erreur,Péché,Serviette,Creusé,Juste,Ami,Fugué,Diable,partie,Chose,Chaud,Ordinateur,Contrat,Vin,Trophée,Gare,Déprimé,Dépêcher,Endormi,Anniversaire,Repeinte,Tard,Émoi,Savoir,Termes,Arranger,Mangé,Poisson,Terrain,Pleurer,Rapidement,Mort,Gâteau
10/3/2022 11:47,Oui,Femme,18 - 25,La France,Master ou équivalent,amoureux,chien,chaude,malchance,rencontrés,nuit,dent,abîmée,fort,surprise,pas,montre,voler,rouge,guerre,répondre,nourrir,boulot,couteau,rire,erreur,péché,serviette,creusé,juste,ami,oublié,trésor,girafe,histoire,épicé,ordinateur,chapitre,sang,bonbon,gare,homosexuel,dépêcher,assis,mariage,photographié,tôt,fête,réviser,outils,aider,chanté,?,terrain,crier,?,foudre,poisson
10/3/2022 13:05,Oui,Femme,26 - 35,Tunisienne,Doctorat,Amoureux,Chien,Chaude,Soucis,Rencontres,Nuit,Dent,Limée,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Erreur,Péché,Serviette,Creuse,Juste,Ami,Du travail,Chat,Tonne,Histoire,Salé,Appareil photo,Contrat,Sang,Prix,Gare,Gay,Méfier,Endormi,Anniversaire,Peinte,Tard,Colère,Volonté,Arguments,Organiser,D’amis,Couverture,Programme,Pleurer,Le déménagement,Mort,Parapluie
10/3/2022 13:57,Oui,Femme,18 - 25,La France,Master ou équivalent,amoureux,chien,chaude,malheur,rencontrés,nuit,dent,émoussée,forte,soirée,pas,montre,voler,bleu,guerre,faire,nourrir,contrat,couteau,rire,faute,péché,serviette,creusé,justifiée,ami,faim,scarabée,grosse,chose,salé,appart,contrat,sang,prix,gare,malade,dépêcher,couché,mariage,décorée,oui,ébullition,courage,outils,faire,mangé,chien,terrain,bailler,seul,mort,vélo
10/3/2022 18:54,Oui,Femme,18 - 25,La France,Master ou équivalent,amoureux,chien,chaude,malheur,rencontrés,nuit,dent,émoussée,forte,soirée,pas,montre,voler,rouge,guerre,faire,nourrir,emploi,couteau,rire,erreur,crime,serviette,creusé,juste,ami,disparu,œuf,autre,chose,épicé,appartement,contrat,suie,prix,ville,malade,dépêcher,enfermé,gala,construite,encore,débandade,chance,plans,faire,réussi,chose,programme,trembler,lui-même,retraite,livre
10/3/2022 19:11,Oui,Femme,56 - 65,La Belgique,"BTS, DUT, licence ou équivalent",Amoureux,Chien,Chaude,Malheur,Rencontrés,Nuit,Dent,Émoussée,Bruyante,Fête,Pas,Montre,Voler,Rouge,Guerre,Répondre,Nourrir,Poste,Couteau,Rire,Faute,Délit,Serviette,Creusé,Juste,Ami,Disparu,Trésor,Tonne,Rengaine,Copieux,Ordinateur,Résultat,Sang,Vélo,Gare,Homosexuel,Dépêcher,Choqué,Mariage,Creusée,Lentement,Heureuse,Courage,Termes,Réorganiser,Réussit,Classification,Terrain,Tituber,Le trajet,Mort,Livre
10/3/2022 20:39,Oui,Femme,46 - 55,La Belgique,Master ou équivalent,Amoureux,Chien,Brûlante,Tort,Rencontré,Nuit,Dent,Ébréchée,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Faute,Délit,Serviette,Creusé,Proportionnée,Ami,Oublie,Insecte,Grande,Histoire,Copieux,Ordinateur,Manuscrit,Rouge à lèvres,Cadeau,Plage,Divorcé,Marier,Fatigué,Anniversaire,Décrite,De pâtes,Liesse,Connaissances,Mots,Contrôler,Mangé,Mammifère,Terrain,Danser,Leur déménagement,Guerre,Pain
11/3/2022 0:07,Oui,Homme,18 - 25,La France,Master ou équivalent,Amoureux,Chien,Chaude,Malchance,Rencontrés,Nuit,Dent,Émoussée,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Acheter,Nourrir,Job,Ciseau,Rire,Faute,Péché,Serviette,Creusé,Méchante,Ami,Froid,Cadeau,Tripotée,Histoire,Grand,Ordinateur,Testament,Sang,Prix,Gare,Gay,Dépêcher,Triste,Bal,Construite,Gras,Liesse,Cran,Outils,Faire,Sauté,Tortue,Marathon,Gémir,Finement,Varicelle,Parapluie
11/3/2022 7:15,Oui,Homme,56 - 65,La Belgique,"BTS, DUT, licence ou équivalent",Amoureux,Chien,Chaude,Malheur,Vus,Nuit,Dent,Usée,Bonne,Teuf,Pas,Montre,Voler,Deuil,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Erreur,Crime,Serviette,Creusé,Juste,Compagnon,Refusé,Indice,Grosse,Histoire,Lourd,Ordinateur,Contrat,Sang,Certificat,Ville,Gay,Taire,Seul,Mariage,Dessiné,Chaud,Fête,Sommeil,Mots,Faire,Participé,Crétin,Terrain,Pleurer,Lui-même,Mort,Pain
11/3/2022 8:52,Oui,Homme,26 - 35,La Belgique,"BTS, DUT, licence ou équivalent",amoureux,chien,chaude,débris,vus,nuit,douche,émoussée,bien,fête,pas,montre,voler,rouge,guerre,faire,nourrir,emploi,couteau,rire,tache,méfait,serviette,creusé,justifiée,ami,disparu,bonbon,centaine,chose,salé,ordinateur,contrat,sang,prix,ville,belge,voir,sorti,rendez-vous,créée,tard,furie,ressources,outils,faire,là,champignon,terrain,voler,le trajet,mer,chat
11/3/2022 12:36,Oui,Femme,26 - 35,La France,Master ou équivalent,Amoureux,Chien,Chaude,Peine,Rencontrés,Nuit,Dent,Usée,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Travail,Couteau,Rire,Faute,Péché,Serviette,Creusé,Juste,Confidant,En rendez-vous,Trésor,Bibliothèque,Histoire,Salé,Ordinateur,Contrat,Sang,Trophée,Place,Malade,Réveiller,Enfermé,Mariage,Installée,Sainement,Ébullition,Chance,Codes,Rénover,Là,Plante,Souffle,Table,Seul,Mort,Canapé
11/3/2022 16:31,Oui,Femme,36 - 45,La France,"BTS, DUT, licence ou équivalent",Amoureux,Chien,Chaude,Malheur,Rencontrés,Nuit,Dent,Molle,Bien,Fête,Pas,Montre,Volé,Rouge,Guerre,Faire,Cuire,Emploi,Couteau,Rire,Erreur,Péché,Serviette,Creusé,Justifiée,Confident,Oublié,Trésor,Autre,Histoire,Salée,Album,Compte-rendu,Sang,Chocolat,Maison,Malade,Discipliner chaude,Dans son univers,Bal,Photographiée,Équilibré,Emoi,Bagou,Mots,Faire,La covidy,Plantes,Stade,Tousser,Le Demenagement,Haine,Livre
11/3/2022 18:23,Oui,Femme,56 - 65,La France,Master ou équivalent,Amoureux,Chien,Brûlante,Problèmes,Rencontrés,Nuit,Dent,Arrondie,Forte,Fête,Pas,Montre,Voler,Rouge,Guerre,Penser,Nourrir,Emploi,Couteau,Rire,Erreur,Pêché,Serviette,Fait,Équitable,Compagnon,Oublié,Trésor,Belle,Histoire,Épicé,Appareil photo,Contrat,Sang,Cadeau,Ville,Viré,Marier,Parti,Match,Peinte,De pain,Liesse,Courage,Mots,Ranger,Mangé,Plante,Parcours,Hurler,Le voyage,Nuit,Revolvet
12/3/2022 15:13,Oui,Femme,18 - 25,La France,"Baccalauréat général, technologique, professionnel ou équivalent",Amoureux,Chien,Chaude,Malheurs,Ému,Nuit,Fille,Fine,Bonne,Surprise,Pas,Montre,Voler,Rouge,Guerre,Dire,Coudre,Homme,Couteau,Rire,Erreur,Péché,Serviette,Creusé,Sévère,Ami,Mal,Bijou,autre,Histoire,Sucré,Livre,Testament,Bou,Téléphone,Ferme,Fort,Marier,Libre,Anniversaire,Faite,De soupe,Choc,Ressources,D’achats,Faire,Terminé,Dinosaure,Travail,Pleurer,Ça,Mort,Scooter
14/03/2022 00:47:44,Oui,Femme,26 - 35,La France,Master ou équivalent,Amoureux,Chien,Chaude,Malheur,Vus,Nuit,Dent,Lisse,Forte,Fête,Fois,Montre,Voler,Rouge,Guerre,Faire,Nourrir,Emploi,Couteau,Rire,Faute,Péché,Serviette,Creusé,Juste,Ami,Rendez-vous,Trésor,Dizaine,Chose,Épicé,Ordinateur,Dossier,Sueur,Prix,Ville,Malade,Marier,Disparu,Spectacle,Construite,Lentement,Colère,Tricher,Mots,Faire,Réagi,Chien,Match,Gémir,Seul,Directrice,Pain
