Timestamp,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quelle est votre nationalité ?,Quel est le plus haut diplôme que vous ayez obtenu?,"Pendant les grandes vacances, le médecin aimait voyager avec son",Les policiers n'avaient pas du tout compris qu'elles s'étaient,"Pour se réchauffer, il a mis un manteau très",Les visiteurs attendaient le maire et pensaient qu'il avait,Elle a eu la bonne idée de le rappeler après avoir étudié son,Elle a acheté un pot de fleurs pour son,Albert a oublié la radio que sa mère avait,La femme s’était offert un beau bracelet de,"Pour améliorer cette recette, il faudrait ajouter un peu de",Elle a toujours eu mal à la,Isabelle était sortie cueillir un bouquet de,Son père avait dans le temps une incroyable collection de,On fait le cidre avec le jus des,Les pompiers ont enfin récupéré le chat coincé en haut d'un,"La gare est encore très loin, et nous allons rater notre","Au printemps dans le jardin, son père tondait la","Dès sa majorité, il s’était engagé dans l'",Après cette grosse bêtise il rougit de,"Après sa panne, un passant l'a aidé à pousser sa","Elevé dans une ferme, il rêve de retourner vivre à la",Elle aime ce film sans en comprendre le,Il va acheter des actions cotées en,Sa vue a diminué et elle doit acheter une nouvelle paire de,Le petit garçon mange son steak avec un couteau et une,Dès la première goutte de pluie elle a ouvert son
3/26/2022 17:46:14,Oui,Femme,36 - 45,La France,Master ou équivalent,Fils,Trompées ,Chaud ,Oublié,Cv ,Anniversaire ,Branchee ,Coquillages ,Sel,Gorge ,Roses,Tombes ,Pommes,Arbre ,Train,Pelouse ,Armée ,Honte ,Voiture ,Campagne ,Sens,Bourse ,Lunettes,Fourchette ,Parapluie
3/26/2022 17:51:08,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Égarées,Chaud,Oublié,CV,Ami,Allumé,Perles,Paprika,Jambe,Fleurs,Voitures,Pommes,Arbre,Train,Pelouse,Armée,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 18:23:12,Oui,Homme,18 - 25,La France,Master ou équivalent,Fils,Armees,Chaud,Disparu,Cas,Fils,Mangé,Diamants,Paprika,Tete,Fleurs,Voitures ,Pommes,Arbre,Train,Pelouse,Armee,Honte,Voiture,Campagne,Sujet,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 18:25:25,Oui,Femme,18 - 25,La France,"Brevet des collège, BEPC",sac,trompée ,chaud,un problème ,profil,jardin,acheté,perles,farine ,gorge,roses,voitures,pommes,arbre,train,pelouse ,armée ,honte,voiture,campagne,sens,bourse,lunettes ,fourchette,parapluie
3/26/2022 18:30:14,Oui,Femme,18 - 25,La France,Master ou équivalent,Chien,Copines ,Chaud ,Du retard ,Mémoire ,Mari,Achetée,Diamants ,Sel ,Tête ,Fleurs ,Timbres ,Pommes ,Arbre ,Train ,Pelouse ,Armée ,Honte ,Charette,Campagne ,Sens ,Bourse ,Lunette ,Fourchette ,Parapluie
3/26/2022 18:34:53,Oui,Femme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Chien,Enfuies,Chaud,Déserté,Dossier,Pétunia,Achetée,Diamant,Sel,Hanche,Fleurs,Timbres,Pommes,Arbre,Train,Pelouse,Armée,Honte,Caisse,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 19:41:55,Oui,Homme,18 - 25,La France,Master ou équivalent,Fils,Violées,Chaud,Bu,Diplôme,Jardin,Oubliée,Diamant,Sucre,Chatte,Fleurs,Timbres,Pommes,Arbre,Coche,Pelouse,Aviation,Honte,Poussette,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 20:04:04,Oui,Femme,18 - 25,La France,Master ou équivalent,nécéssaire,échappées,chaud,été retardé,dossier,rosier,prêté,perles,sel,tête,muguet,voitures,pommes,arbre,train,pelouse,armé,honte,voiture,campagne,pourquoi,bourses,lunettes,fourchette,parapluie
3/26/2022 20:06:09,Oui,Homme,18 - 25,La France,Master ou équivalent,Stéthoscope,Rendues,Chaud,Disparue,Devis,Citronnier,Allumée,Diamants,Sel,Tête,Rose,Voiture,Pommes,Arbre,Train,Pelouse,Armée,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 21:04:46,Oui,Homme,18 - 25,La France,Master ou équivalent,Père ,Trompé ,Chaud,Oublié,Dossier ,Ami,Branché,Jade,Farine ,Malléole ,Jonquilles ,Casettes,Pommes ,Arbre ,Train,Pelouse ,L'armée ,Colère ,Voiture ,Campagne ,Dénouement ,Bourse ,Lunettes ,Pomme,Parapluie 
3/26/2022 21:10:17,Oui,Femme,56 - 65,La Belgique,"BTS, DUT, licence ou équivalent",Chien ,Disputées ,Chaud,Oublié ,Cas,Anniversaire ,Réparée ,Perles,Sel,Tête ,Fleurs,Timbres,Pommes,Toit,Train,Pelouse,Armée ,Honte,Voiture ,Campagne ,Scénario ,Bourse,Lunettes ,Fourchette ,Parapluie 
3/26/2022 21:11:54,Oui,Homme,18 - 25,La France,"BTS, DUT, licence ou équivalent",Fils,Trompé,Chaud,Du retard,Offre,Hortensia,Installé,Saint Valentin,Sucre,chatte,Fleurs,Pièce,Pommes,Toit,Train,Pelouse,Armée,Peur,Voiture,Montagne,Sens,Bourse,Lunette,Fourchette,Parapluie
3/26/2022 21:15:53,Oui,Femme,26 - 35,La Belgique,Master ou équivalent,Fils,Suicidées,Chaud,Déserté,Mémoire,Bouquet,Cassé,Roses,Sel,Cheville,Fleurs,Timbres,Pommes,Toit,Train,Pelouse,Armée,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Manteau
3/26/2022 21:20:48,Oui,Femme,46 - 55,La France,Master ou équivalent,Chien,Bagarrées,Chaud,Bu,CV ,Camélia ,Perdu,Diamants,Rhum,Tête ,Marguerites,Timbres,Pommes,Pommier,Train,Pelouse,Armée ,Honte ,Voiture ,Campagne,Scénario ,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 21:23:24,Oui,Homme,56 - 65,La Belgique,"CAP, BEP ou équivalent",Chien,Perdues,Chaud,Oublié,Dossier,Jardin,Acheté,Diamants,Sel,Tête,Fleurs,Timbres,Pommes,Arbre,Train,Pelouse,Armée,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/26/2022 21:40:01,Oui,Femme,26 - 35,La France,Master ou équivalent,Chien,Perdues,Chaud,Oublié ,Agenda,Jardin,Achetée ,Cheville,Sel,Jambe,Fleurs,Timbres,Pommes,Arbre,Train,Pelouse,L'armée ,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette ,Parapluie
3/27/2022 5:47:37,Oui,Femme,18 - 25,La France,Master ou équivalent, chien,volatilisées.,épais,fugué,profil,anniversaire,achetée,perles,sel,jambe,fleurs,timbres,pommes,arbre,train,pelouse,armée,honte,voiture,campagne,sens,bourse,lunettes,fourchette,parapluie
3/27/2022 10:02:16,Oui,Femme,26 - 35,La France + l’angleterre,Aucun diplôme,Carnet,Perdu,Epais ,Oublier,Livre ,Ami,Offert ,Pierres,Vin,Danse,Fleures ,Vinyls,Pomme,Arbre ,Train,Pelouse,Armée,Jou,Voiture ,Campagne ,Langue,Apple,Lunettes ,Forchette ,Paraplui 
3/27/2022 22:58:47,Oui,Autre,18 - 25,La France,Master ou équivalent,fils,évadées,épais,rendez-vous,dossier,fils,demandée,coquillages,sauce,cheville,roses,vêtements,pommes,arbre,train,pelouse,armée,honte,voiture,campagne,sens,bourse,lunettes,fourchette,parapluie
3/28/2022 14:08:55,Oui,Femme,26 - 35,La France,Master ou équivalent,Chien ,Évanouies ,Chaud,Oublié,Profil,Balcon,Achetée,Pierres,Paprika,Tête ,Fleurs,Voitures,Pommes,Arbre,Train,Pelouse,Armée ,Honte,Voiture,Campagne,Sens,Bourse,Lunettes,Fourchette,Parapluie
3/28/2022 14:24:14,Oui,Homme,56 - 65,La France,Master ou équivalent,Pere,Concertées ,Chaud,Oublié,Profil,Amie,Citée,Perles,Muscade,Tête,Violettes,Timbres,Pommes,Arbre,TGV,Pelouse,Armée,Honte,Voiture,Campagne,Scenario,Bourse,Lunettes,Fourchette ,Parapluie
